filename,text,duration_s,source_file
Abia_0010_0003.wav,"ndị ọ́má nù, ékèlé mú nù.",1.7,Abia_0010
Abia_0010_0007.wav,Íhé m chọ̀rọ̀ íkwú ngbóhó nà wú,3.2,Abia_0010
Abia_0010_0009.wav,"Íhé gbásárá nnà m, òtù nnà m shì",2.78,Abia_0010
Abia_0010_0015.wav,"Ányị́ bí, ébì m",2.04,Abia_0010
Abia_0010_0017.wav,Nà álá Àbá,1.62,Abia_0010
Abia_0010_0019.wav,Nà álá Àbá kà m bì,1.42,Abia_0010
Abia_0010_0021.wav,Ànyị́ nà ńnà m bì,1.32,Abia_0010
Abia_0010_0023.wav,"Á’rìkwánụ́, á’rìkwánụ́, á’rìkwánụ́ ḿmádụ̀ àtọ́. Ḿmádụ̀ àtọ́ kà ńnà m nà ńné mú mụ̀rụ̀.",6.5,Abia_0010
Abia_0010_0025.wav,Mùákwánú búkẃa ónyé nké ìkpéàzú,2.28,Abia_0010
Abia_0010_0029.wav,Á wụ́kwánụ́ m sọ́sọ̀ ótù mkpụ́rụ́ nwaanyị̀ há nwèrè na ụ́lọ̀.,2.44,Abia_0010
Abia_0010_0033.wav,"èmégídé mégídé mégídé ooo, ụ́mụ̀ńné nnà m",3.38,Abia_0010
Abia_0010_0035.wav,"éshí òbòdò ányị yá nà àbìá ébé à ílété ńnà m. Ónyé ké bìá yó wété ké, àchìchà, àchìchà. Ónyé nké à á bìá wété nké à, ónyé nké à wété íhé á ga ̀éjí ná ényéré ányí áká.",11.52,Abia_0010
Abia_0010_0037.wav,"émégídé, mégídé, mégídé, nà ígwá gị́ ézíōkwú",3.3,Abia_0010
Abia_0010_0039.wav,"ọ́ bụ̀ íhé, ọ́wụ̀ íhé nwúté nyéré ányị́ níìlé",2.76,Abia_0010
Abia_0010_0041.wav,"nà émèchàrà íhé áhụ̀ níìlé, ńnà m nwụ̀ọ́",2.48,Abia_0010
Abia_0010_0051.wav,"túpú ńnà m áwụ̀ọ́, árì ntàkị́rị́, ntàkị́rị́",3.2,Abia_0010
Abia_0010_0053.wav,Nwánné m nké tọ́chárá ányị́ níìlé,1.86,Abia_0010
Abia_0010_0057.wav,"írí ná, ọ́ dì, ọ́ rì áfọ̀ írí nà àtọ́",2.62,Abia_0010
Abia_0010_0059.wav,"Nké tọ́rọ̀ m, nké ọ́ tọ̀rọ̀ rì áfọ̀ ìrí",2.84,Abia_0010
Abia_0010_0061.wav,"mu ̣́ónwé m di ̀kwànù áfọ̀, áfọ̀ àsàá. Ànyị́ étóbèdì, ányí kà wú úrúrú, úrúrú, úrúrú úmùázhì ńnà m áwùó",6.82,Abia_0010
Abia_0010_0063.wav,"ígwá gị́ ézíōkwú, íhé ébídó na èsírí ányị́ íké, na èsírí ányị́ íké, na èsírí ányị́ íké.",4.06,Abia_0010
Abia_0010_0065.wav,ọ̀ wụ́hụ́ kwánụ́ nà ụ́mụ̀ńné ńnà m hà,2.38,Abia_0010
Abia_0010_0067.wav,ọ̀ wụ́hụ́ kwánụ́ nà há éjíhí égō,1.92,Abia_0010
Abia_0010_0069.wav,"á bíā nà òbòdó, á bíā nà èzhí, èzhí, èzhí nwéré égó ámàámá, ámàámá mázhí àmàá",6.86,Abia_0010
Abia_0010_0071.wav,èzínụ́lọ̀ ńnà m hà,1.38,Abia_0010
